idcuenta,idcliente,empresa,oficina,digcontrol,contrato,situacion,fecha_alta,fecha_baja,iban_total
1,1,8965,2080,464,180886853,A,2007-07-29,9999-12-31,ES7789652080464180886853
2,2,5555,2651,478,066130664,A,2001-04-17,9999-12-31,ES6055552651478066130664
3,3,9775,1942,936,530848723,B,2021-04-24,2021-09-20,ES7597751942936530848723
4,4,4326,6824,788,653387293,A,2003-09-25,9999-12-31,ES3243266824788653387293
5,5,3429,8142,006,407396233,B,2013-09-29,2014-03-17,ES3434298142006407396233
6,6,7578,6697,295,945846804,B,2009-10-10,2011-12-07,ES7675786697295945846804
7,7,0646,4121,672,842920816,A,2004-04-03,9999-12-31,ES8206464121672842920816
8,8,3608,3837,251,354306016,B,2001-01-07,2017-06-25,ES7536083837251354306016
9,9,6711,8298,855,504924031,A,2004-10-08,9999-12-31,ES6167118298855504924031
10,10,3731,5177,079,719099243,B,2011-12-01,2021-05-03,ES5937315177079719099243
11,11,7686,1715,728,394246009,B,2013-10-15,2020-05-22,ES7876861715728394246009
12,12,2478,2723,114,829547164,B,2001-11-22,2021-10-28,ES1724782723114829547164
13,13,0513,9855,011,815042765,B,2014-05-16,2022-01-17,ES5305139855011815042765
14,14,8201,7913,094,825241491,A,2017-06-28,9999-12-31,ES7782017913094825241491
15,15,9557,2808,943,193910484,A,2009-01-23,9999-12-31,ES6295572808943193910484
16,16,4601,2760,476,017016710,B,2007-06-26,2015-01-02,ES8046012760476017016710
17,17,5395,1412,075,867801193,A,2013-09-16,9999-12-31,ES6353951412075867801193
18,18,2803,1289,535,534265522,A,2014-07-19,9999-12-31,ES0928031289535534265522
19,19,1437,4301,304,820268488,A,2018-03-18,9999-12-31,ES7014374301304820268488
20,20,6659,3384,591,658446608,A,2012-05-16,9999-12-31,ES7666593384591658446608
21,21,4253,7461,989,645299373,A,2020-08-01,9999-12-31,ES1342537461989645299373
22,22,1542,1270,038,450582078,A,2004-01-23,9999-12-31,ES8415421270038450582078
23,23,4058,2763,401,331412150,A,2006-08-05,9999-12-31,ES0340582763401331412150
24,24,8601,2996,445,321051778,A,2015-03-16,9999-12-31,ES8286012996445321051778
25,25,1406,7846,958,805803415,A,2015-04-03,9999-12-31,ES2014067846958805803415
26,26,3958,6441,626,921625806,B,2004-05-02,2015-10-20,ES3739586441626921625806
27,27,3456,1929,399,874714945,B,2004-04-16,2018-10-01,ES2834561929399874714945
28,28,7930,3190,791,688244202,A,2002-11-04,9999-12-31,ES7579303190791688244202
29,29,2082,1339,095,802196557,A,2022-02-17,9999-12-31,ES4520821339095802196557
30,30,0422,8738,689,329311285,B,2020-11-05,2021-07-09,ES1704228738689329311285
31,31,6198,0841,693,785969708,A,2016-07-11,9999-12-31,ES9061980841693785969708
32,32,3865,5830,982,710359417,B,2016-03-04,2020-01-09,ES0838655830982710359417
33,33,2170,2082,386,664379235,A,2006-03-12,9999-12-31,ES6621702082386664379235
34,34,0503,2556,396,645028368,A,2003-04-10,9999-12-31,ES5605032556396645028368
35,35,1154,1667,099,590076637,A,2004-10-06,9999-12-31,ES8811541667099590076637
36,36,6884,9504,308,341958940,A,2011-03-04,9999-12-31,ES3468849504308341958940
37,37,0352,8863,724,952105781,B,2016-06-07,2016-07-03,ES2903528863724952105781
38,38,0222,7084,524,354129841,A,2006-04-14,9999-12-31,ES9702227084524354129841
39,39,1411,2707,821,966983260,B,2007-05-22,2008-10-13,ES6814112707821966983260
40,40,1565,9136,247,159907175,A,2007-01-03,9999-12-31,ES7815659136247159907175
41,41,9608,3479,967,754157048,A,2019-07-14,9999-12-31,ES8096083479967754157048
42,42,9996,7307,223,596039309,B,2002-02-16,2005-03-10,ES8299967307223596039309
43,43,7035,3014,411,197984799,A,2015-06-19,9999-12-31,ES7370353014411197984799
44,44,0296,8613,924,366221607,B,2003-08-10,2010-08-20,ES1602968613924366221607
45,45,5567,7576,199,636439399,B,2013-02-06,2014-11-25,ES7655677576199636439399
46,46,4268,6550,590,733853432,A,2012-10-17,9999-12-31,ES2642686550590733853432
47,47,9110,8456,480,365644807,B,2015-04-08,2018-02-22,ES1291108456480365644807
48,48,5010,0394,348,345920773,B,2022-04-13,2022-06-09,ES1850100394348345920773
49,49,4626,6630,860,982044625,A,2013-04-16,9999-12-31,ES8146266630860982044625
50,50,7074,9235,951,894769916,A,2020-06-28,9999-12-31,ES7570749235951894769916
51,51,7068,2229,636,342316583,B,2011-08-15,2012-05-17,ES6370682229636342316583
52,52,8750,6248,930,710877845,B,2010-08-18,2020-04-19,ES9387506248930710877845
53,53,0176,0192,575,960032429,B,2015-11-25,2016-09-24,ES0901760192575960032429
54,54,7883,6059,744,562631253,B,2013-04-04,2014-12-12,ES4078836059744562631253
55,55,7327,2187,879,930954239,B,2003-02-03,2004-03-28,ES7173272187879930954239
56,56,0350,2582,841,614102607,A,2012-12-06,9999-12-31,ES2203502582841614102607
57,57,2813,5537,453,130868006,A,2019-02-06,9999-12-31,ES4128135537453130868006
58,58,3062,1048,395,125334930,A,2002-03-16,9999-12-31,ES4730621048395125334930
